Seth,Evan,Dustin,Madeline,Jon M,Chase,Jakob,Connor,Alex,Will,Abby,Jacob H,Kevin,Emma
254,1690,1678,1323,2910,2052,6800,148,3310,695,846,176,27,4414
1619,624,3476,1577,179,4481,973,694,4213,2471,3128,1771,2056,359
341,3538,2122,604,876,6328,364,2767,1574,2478,1902,1403,1114,1533
195,2976,987,5895,5940,2168,3539,1640,118,3636,5199,2046,971,2337
111,67,2383,3339,6421,4905,5172,1986,2539,8788,1538,7457,2974,3322
3534,70,4488,2590,1706,3847,3005,16,33,4592,503,2481,623,125
6036,7157,2930,4020,4613,3015,696,5406,1391,1711,3641,230,1730,5813
180,4499,4003,2614,1741,2202,4911,340,4201,6844,2486,2075,115,2992
